Subject Id,Visit,LabRecordID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Group Identifier,Specimen Identifier,Sponsor-Defined Identifier,Lab Test or Examination Short Name,Lab Test or Examination Name,Category for Lab Test,Subcategory for Lab Test,Result or Findings as Collected,Unit of the Original Result,Reference Range Lower Limit-Orig Unit,Reference Range Upper Limit-Orig Unit,Standardized Result in Character Format,Standardized Result in Numeric Format,Unit of the Standardized Result,Reference Range Lower Limit-Std Unit,Reference Range Upper Limit-Std Unit,Reference Range for Char Rslt-Std Unit,Reference Range Indicator,Completion Status,Reason Not Done,Laboratory Name,Specimen Material Type,Anatomical Region of Specimen,Specimen Condition,Specimen Usability for the Test,Specimen Collection Location,Specimen Laterality within Subject,Specimen Directionality within Subject,Portion or Totality,Method of Test or Examination,Baseline Flag,Fasting Status,Derived Flag,Toxicity,Standard Toxicity Grade,Exclusion Flag,Reason for Exclusion,Unscheduled Flag,Planned Study Day of Collection,Date/Time of Specimen Collection,End Date/Time of Specimen Collection,Study Day of Specimen Collection,Study Day of End of Specimen Collection,Nominal Study Day for Tabulations,Label for Nominal Study Day,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point
N150a009,LB,N150a009_37_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,5.0,mm,,,5.0,5.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-12,2012-01-12,37,37,1,Week 3,,,,,
N150a009,LB,N150a009_37_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,5.0,mm,,,5.0,5.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-12,2012-01-12,37,37,1,Week 3,,,,,
N150a009,LB,N150a009_41_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,5.0,mm,,,5.0,5.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-16,2012-01-16,41,41,1,Week 4,,,,,
N150a009,LB,N150a009_41_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,4.5,mm,,,4.5,4.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-16,2012-01-16,41,41,1,Week 4,,,,,
N150a009,LB,N150a009_44_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,3.5,mm,,,3.5,3.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-19,2012-01-19,44,44,1,Week 4,,,,,
N150a009,LB,N150a009_44_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,3.0,mm,,,3.0,3.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-19,2012-01-19,44,44,1,Week 4,,,,,
N150a009,LB,N150a009_48_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-23,2012-01-23,48,48,1,Week 5,,,,,
N150a009,LB,N150a009_48_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-23,2012-01-23,48,48,1,Week 5,,,,,
N150a009,LB,N150a009_51_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-26,2012-01-26,51,51,1,Week 5,,,,,
N150a009,LB,N150a009_51_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-26,2012-01-26,51,51,1,Week 5,,,,,
N150a009,LB,N150a009_55_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-30,2012-01-30,55,55,1,Week 6,,,,,
N150a009,LB,N150a009_55_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-30,2012-01-30,55,55,1,Week 6,,,,,
N150a009,LB,N150a009_58_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-02,2012-02-02,58,58,1,Week 6,,,,,
N150a009,LB,N150a009_58_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-02,2012-02-02,58,58,1,Week 6,,,,,
N150a009,LB,N150a009_62_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-06,2012-02-06,62,62,1,Week 7,,,,,
N150a009,LB,N150a009_62_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-06,2012-02-06,62,62,1,Week 7,,,,,
N150a009,LB,N150a009_65_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-09,2012-02-09,65,65,1,Week 7,,,,,
N150a009,LB,N150a009_65_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-09,2012-02-09,65,65,1,Week 7,,,,,
N150a009,LB,N150a009_69_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-13,2012-02-13,69,69,1,Week 8,,,,,
N150a009,LB,N150a009_69_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-13,2012-02-13,69,69,1,Week 8,,,,,
N150a009,LB,N150a009_72_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-16,2012-02-16,72,72,1,Week 8,,,,,
N150a009,LB,N150a009_72_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-16,2012-02-16,72,72,1,Week 8,,,,,
N150a009,LB,N150a009_76_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-20,2012-02-20,76,76,1,Week 9,,,,,
N150a009,LB,N150a009_76_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-20,2012-02-20,76,76,1,Week 9,,,,,
N150a009,LB,N150a009_79_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-23,2012-02-23,79,79,1,Week 9,,,,,
N150a009,LB,N150a009_79_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-23,2012-02-23,79,79,1,Week 9,,,,,
N150a009,LB,N150a009_83_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-27,2012-02-27,83,83,1,Week 10,,,,,
N150a009,LB,N150a009_83_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-02-27,2012-02-27,83,83,1,Week 10,,,,,
N150a009,LB,N150a009_86_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-01,2012-03-01,86,86,1,Week 10,,,,,
N150a009,LB,N150a009_86_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-01,2012-03-01,86,86,1,Week 10,,,,,
N150a009,LB,N150a009_90_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-05,2012-03-05,90,90,1,Week 11,,,,,
N150a009,LB,N150a009_90_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-05,2012-03-05,90,90,1,Week 11,,,,,
N150a009,LB,N150a009_93_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-08,2012-03-08,93,93,1,Week 11,,,,,
N150a009,LB,N150a009_93_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-08,2012-03-08,93,93,1,Week 11,,,,,
N150a009,LB,N150a009_97_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-12,2012-03-12,97,97,1,Week 12,,,,,
N150a009,LB,N150a009_97_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-12,2012-03-12,97,97,1,Week 12,,,,,
N150a009,LB,N150a009_100_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-15,2012-03-15,100,100,1,Week 12,,,,,
N150a009,LB,N150a009_100_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-15,2012-03-15,100,100,1,Week 12,,,,,
N150a009,LB,N150a009_104_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-19,2012-03-19,104,104,1,Week 13,,,,,
N150a009,LB,N150a009_104_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-19,2012-03-19,104,104,1,Week 13,,,,,
N150a009,LB,N150a009_107_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-22,2012-03-22,107,107,1,Week 13,,,,,
N150a009,LB,N150a009_107_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-22,2012-03-22,107,107,1,Week 13,,,,,
N150a009,LB,N150a009_111_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-26,2012-03-26,111,111,1,Week 14,,,,,
N150a009,LB,N150a009_111_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-26,2012-03-26,111,111,1,Week 14,,,,,
N150a009,LB,N150a009_114_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-29,2012-03-29,114,114,1,Week 14,,,,,
N150a009,LB,N150a009_114_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-03-29,2012-03-29,114,114,1,Week 14,,,,,
N150a009,LB,N150a009_118_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-02,2012-04-02,118,118,1,Week 15,,,,,
N150a009,LB,N150a009_118_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-02,2012-04-02,118,118,1,Week 15,,,,,
N150a009,LB,N150a009_121_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-05,2012-04-05,121,121,1,Week 15,,,,,
N150a009,LB,N150a009_121_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-05,2012-04-05,121,121,1,Week 15,,,,,
N150a009,LB,N150a009_126_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-10,2012-04-10,126,126,1,Week 16,,,,,
N150a009,LB,N150a009_126_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-10,2012-04-10,126,126,1,Week 16,,,,,
N150a009,LB,N150a009_128_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-12,2012-04-12,128,128,1,Week 16,,,,,
N150a009,LB,N150a009_128_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-12,2012-04-12,128,128,1,Week 16,,,,,
N150a009,LB,N150a009_133_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-17,2012-04-17,133,133,1,Week 17,,,,,
N150a009,LB,N150a009_133_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-17,2012-04-17,133,133,1,Week 17,,,,,
N150a009,LB,N150a009_136_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-20,2012-04-20,136,136,1,Week 17,,,,,
N150a009,LB,N150a009_136_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-20,2012-04-20,136,136,1,Week 17,,,,,
N150a009,LB,N150a009_139_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-23,2012-04-23,139,139,1,Week 18,,,,,
N150a009,LB,N150a009_139_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,0.0,mm,,,0.0,0.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-04-23,2012-04-23,139,139,1,Week 18,,,,,
