Subject Id,Visit,ProcedureID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Focus of Study-Specific Interest,Group ID,Sponsor-Defined Identifier,Link ID,Link Group ID,Reported Name of Procedure,Standardized Procedure Name,Category,Subcategory,Pre-specified,Occurrence,Indication,Dose,Dose Description,Dose Units,Dose Form,Dosing Frequency per Interval,Intended Dose Regimen,Route of Administration,Location of Procedure,Laterality,Directionality,Portion or Totality,Visit Number,Planned Study Day of Visit,Planned Order of Element within Arm,Epoch,Start Date/Time of Procedure,End Date/Time of Procedure,Study Day of Start of Procedure,Study Day of End of Procedure,Duration of Procedure,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point,Start Relative to Reference Time Point,Start Reference Time Point,End Relative to Reference Time Point,End Reference Time Point
N150a009,PR,N150a009_42,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-17,2012-01-17,42.0,42.0,1,,,,,,,,,
N150a009,PR,N150a009_43,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-18,2012-01-18,43.0,43.0,1,,,,,,,,,
N150a009,PR,N150a009_44,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-19,2012-01-19,44.0,44.0,1,,,,,,,,,
N150a009,PR,N150a009_45,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-20,2012-01-20,45.0,45.0,1,,,,,,,,,
N150a009,PR,N150a009_48,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-23,2012-01-23,48.0,48.0,1,,,,,,,,,
N150a009,PR,N150a009_49,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-24,2012-01-24,49.0,49.0,1,,,,,,,,,
N150a009,PR,N150a009_50,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-25,2012-01-25,50.0,50.0,1,,,,,,,,,
N150a009,PR,N150a009_51,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-26,2012-01-26,51.0,51.0,1,,,,,,,,,
N150a009,PR,N150a009_52,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-27,2012-01-27,52.0,52.0,1,,,,,,,,,
N150a009,PR,N150a009_55,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-30,2012-01-30,55.0,55.0,1,,,,,,,,,
N150a009,PR,N150a009_56,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-31,2012-01-31,56.0,56.0,1,,,,,,,,,
N150a009,PR,N150a009_57,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-01,2012-02-01,57.0,57.0,1,,,,,,,,,
N150a009,PR,N150a009_58,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-02,2012-02-02,58.0,58.0,1,,,,,,,,,
N150a009,PR,N150a009_59,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-03,2012-02-03,59.0,59.0,1,,,,,,,,,
N150a011,PR,N150a011_-4,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",TOTAL BODY IRRADIATION,"TBI, Whole Body Irradiation",,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4.0,-4.0,1,,,,,,,,,
N150a011,PR,N150a011_13,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-19,2011-12-19,13.0,13.0,1,,,,,,,,,
N150a011,PR,N150a011_14,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-20,2011-12-20,14.0,14.0,1,,,,,,,,,
N150a011,PR,N150a011_15,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-21,2011-12-21,15.0,15.0,1,,,,,,,,,
N150a011,PR,N150a011_16,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-22,2011-12-22,16.0,16.0,1,,,,,,,,,
N150a011,PR,N150a011_17,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-23,2011-12-23,17.0,17.0,1,,,,,,,,,
N150a011,PR,N150a011_20,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-26,2011-12-26,20.0,20.0,1,,,,,,,,,
N150a011,PR,N150a011_21,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-27,2011-12-27,21.0,21.0,1,,,,,,,,,
N150a011,PR,N150a011_22,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-28,2011-12-28,22.0,22.0,1,,,,,,,,,
N150a011,PR,N150a011_23,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-29,2011-12-29,23.0,23.0,1,,,,,,,,,
N150a011,PR,N150a011_24,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-30,2011-12-30,24.0,24.0,1,,,,,,,,,
N150a011,PR,N150a011_27,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-02,2012-01-02,27.0,27.0,1,,,,,,,,,
N150a011,PR,N150a011_28,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-03,2012-01-03,28.0,28.0,1,,,,,,,,,
N150a011,PR,N150a011_29,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-04,2012-01-04,29.0,29.0,1,,,,,,,,,
N150a011,PR,N150a011_30,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-05,2012-01-05,30.0,30.0,1,,,,,,,,,
N150a011,PR,N150a011_31,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-06,2012-01-06,31.0,31.0,1,,,,,,,,,
N150a011,PR,N150a011_34,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-09,2012-01-09,34.0,34.0,1,,,,,,,,,
N150a011,PR,N150a011_35,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-10,2012-01-10,35.0,35.0,1,,,,,,,,,
N150a011,PR,N150a011_36,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-11,2012-01-11,36.0,36.0,1,,,,,,,,,
N150a011,PR,N150a011_37,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-12,2012-01-12,37.0,37.0,1,,,,,,,,,
N150a011,PR,N150a011_38,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-13,2012-01-13,38.0,38.0,1,,,,,,,,,
N150a011,PR,N150a011_41,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-16,2012-01-16,41.0,41.0,1,,,,,,,,,
N150a011,PR,N150a011_42,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-17,2012-01-17,42.0,42.0,1,,,,,,,,,
N150a011,PR,N150a011_43,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-18,2012-01-18,43.0,43.0,1,,,,,,,,,
N150a011,PR,N150a011_44,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-19,2012-01-19,44.0,44.0,1,,,,,,,,,
N150a011,PR,N150a011_45,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-20,2012-01-20,45.0,45.0,1,,,,,,,,,
N150a011,PR,N150a011_48,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-23,2012-01-23,48.0,48.0,1,,,,,,,,,
N150a011,PR,N150a011_49,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-24,2012-01-24,49.0,49.0,1,,,,,,,,,
N150a011,PR,N150a011_50,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-25,2012-01-25,50.0,50.0,1,,,,,,,,,
N150a011,PR,N150a011_51,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-26,2012-01-26,51.0,51.0,1,,,,,,,,,
N150a011,PR,N150a011_52,"Xeno Nimo Hypox,FaDu",PR,N150,a,11,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-27,2012-01-27,52.0,52.0,1,,,,,,,,,
N150a012,PR,N150a012_-4,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",TOTAL BODY IRRADIATION,"TBI, Whole Body Irradiation",,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4.0,-4.0,1,,,,,,,,,
N150a012,PR,N150a012_16,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-22,2011-12-22,16.0,16.0,1,,,,,,,,,
N150a012,PR,N150a012_17,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-23,2011-12-23,17.0,17.0,1,,,,,,,,,
N150a012,PR,N150a012_20,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-26,2011-12-26,20.0,20.0,1,,,,,,,,,
N150a012,PR,N150a012_21,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-27,2011-12-27,21.0,21.0,1,,,,,,,,,
N150a012,PR,N150a012_22,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-28,2011-12-28,22.0,22.0,1,,,,,,,,,
N150a012,PR,N150a012_23,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-29,2011-12-29,23.0,23.0,1,,,,,,,,,
N150a012,PR,N150a012_24,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-30,2011-12-30,24.0,24.0,1,,,,,,,,,
N150a012,PR,N150a012_27,"Xeno Nimo Hypox,FaDu",PR,N150,a,12,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-02,2012-01-02,27.0,27.0,1,,,,,,,,,
